"page_id";"element_id";"text";"line_id";"section_title";"morelines";"section_no";"several_lines";"several_line_title";"section_title_text";"page_of_section";"void_ident";"text_line_id";"text_line_id_start";"text_line_id_end";"section_text";"chapter_no"
3;3;"intellectual property rights................................................................................................................................6";34;"intellectual property rights";FALSE;NA;FALSE;FALSE;NA;6;FALSE;"176";176;184;"intellectual property rights iprs essential or potentially essential to the present document may have been declared to etsi. the information pertaining to these essential iprs, if any, is publicly available for etsi members and non-members, and can be found in sr 000 314: 'intellectual property rights (iprs).  essential, or potentially essential, iprs notified to etsi in respect of etsi standards', which is available free of charge from the etsi secretariat. latest updates are available on the etsi web server (http://www.etsi.org/ipr). pursuant to the etsi ipr policy, no investigation, including ipr searches, has been carried out by etsi. no guarantee can be given as to the existence of other iprs not referenced in sr 000 314 (or the updates on the etsi web server) which are, or may be, or may become, essential to the present document.";NA
3;4;"foreword ............................................................................................................................................................6";35;"foreword";FALSE;NA;FALSE;FALSE;NA;6;FALSE;"185";185;196;"foreword this etsi guide (eg) has been produced by etsi technical committee signalling protocols and switching (sps). the present document replaces the fourth edition of etr 018 issued in march 1995. the following modifications have been made as compared to the fourth edition: -  examples of the use of the videoconferencing teleservice have been added (see subclause 6.3.9).  -  examples of the use of the audiographic conferencing teleservice have been added (see subclause 6.3.10).  -  examples of the use of multimedia services have been added (see subclause 6.3.11). further enhancements of the present document will (most likely) become necessary. candidates for inclusion in a future edition are e.g.: -  examples to document the user signalling bearer service.  -  examples to document the teleaction teleservice.  -  examples to support channel aggregation as an application of the 64 kbit/s unrestricted bearer service.";NA
3;5;"introduction ........................................................................................................................................................6";36;"introduction";FALSE;NA;FALSE;FALSE;NA;6;FALSE;"197";197;223;"introduction the present document specifies the coding of the information elements bearer capability (bc), high layer compatibility (hlc) and low layer compatibility (llc) to be used by terminals supporting the isdn telecommunication services so far specified within etsi and operating in the demand mode. it is based on itu-t recommendation q.931 (1993) as modified by en 300 403-1 [5], including its relevant annexes (b, i and j). for each service it is specified which field values the calling user is requested to send and which field values the called user could expect to receive in a pure isdn environment (clauses 6 and 7). clause 8 specifies the codings to be used in the case of inter-working with non european isdns supporting restricted 64 kbit/s transfer capability. furthermore, interworking with the public switched telephone network (pstn) is also covered (see subclause 9.1). unless otherwise stated, the use of the term 'terminal' refers to customer's terminal apparatus which may be a terminal equipment type 1 (te1), a terminal adapter (ta) together with a terminal equipment type 2 (te2) or a network termination type 2 (nt2) as defined in itu-t recommendation i.411. the terms 'terminal' and 'user' are used interchangeably. 7                               eg 201 018 v1.5.2 (1998-11) the exact bit patterns correlated with the named field values can be found in the following subclauses of en 300 403- 1 [5]: -  in subclause 4.5.5 for the bearer capability information element.  -  in subclause 4.5.17 for the high layer compatibility information element.  and -  in subclause 4.5.19 for the low layer compatibility information element. generally, the information elements bc, hlc and llc serve the following purposes: at the calling side, the network checks that the bearer service requested by the calling user in the bearer capability information element matches with the bearer service provided to that user by the network (see en 300 403-1 [5], annex b). at the called side, the called user performs network-to-user compatibility checking based on the content of the bc- information element, and user-to-user compatibility checking based on the content of the hlc- and llc- information elements (see en 300 403-1 [5], annex b). 8                               eg 201 018 v1.5.2 (1998-11)";NA
3;6;"1       scope........................................................................................................................................................8";37;"1       scope";FALSE;"1";FALSE;FALSE;"scope";8;FALSE;"224";224;246;"1               scope the present document provides supplementary information on the usage of the compatibility information elements bearer capability (bc), high layer compatibility (hlc) and low layer compatibility (llc) for individual telecommunication services. it considers the telecommunications services as they are specified for public integrated services digital networks (isdns). it does not specify additional codings of the compatibility information elements which might be required to support the request and provision of telecommunication services by private networks. since some bearer services can be used to support various user applications, additional information on such applications is specified: -   in subclause 7.1 for the circuit-mode 64 kbit/s unrestricted 8 khz structured bearer service.  -   in subclause 7.2 for the circuit-mode 64 kbit/s 8 khz structured 3,1 khz audio bearer service. the specific objective of the present document is to provide guidance on the correct usage of en 300 403-1 [5] codepoints to the different etsi technical committees or technical subcommittees dealing with services, isdn terminals, terminal adapters (tas) and documents on testing. the present document shall help to assure inter- operability of terminals supporting the same telecommunication service and shall enable terminals to operate on different public isdns. the typical codings specified in clause 6 should be supported by all users and networks supporting the corresponding telecommunications service. other variants of these codings may be supported in addition, however, these variants might not provide for world-wide interoperability and might not guarantee terminal interchangeability. the coding examples given in clause 7 are not exhaustive. they illustrate typical user applications involving bit rate adaption schemes where etsi standardized interfaces are used. clause 8 is devoted to examples showing the interworking of european isdns with non-european isdns supporting restricted 64 kbit/s transfer capability. finally, clause 9 presents codings when interworking with non-isdns occurs.";"1"
3;7;"2       references................................................................................................................................................8";38;"2       references";FALSE;"2";FALSE;FALSE;"references";8;FALSE;"247";247;297;"2               references references may be made to: a) specific versions of publications (identified by date of publication, edition number, version number, etc.), in which case, subsequent revisions to the referenced document do not apply.  or b) all versions up to and including the identified version (identified by 'up to and including' before the version identity).  or c) all versions subsequent to and including the identified version (identified by 'onwards' following the version identity).  or d) publications without mention of a specific version, in which case the latest version applies. a non-specific reference to an ets shall also be taken to refer to later versions published as an en with the same number. [1]                ets 300 080: 'integrated services digital network (isdn).  isdn lower layer protocols for telematic terminals'. [2]                ets 300 103 (1990): 'integrated services digital network (isdn).  support of ccitt recommendation x.21, x.21 bis and x.20 bis based data terminal equipments (dtes) by an isdn.  synchronous and asynchronous terminal adaption functions'. [3]                ets 300 218 (1993): 'integrated services digital network (isdn).  syntax-based videotex lower layers protocols for isdn packet mode (ccitt recommendation x.31 case a and case b)'. 9                             eg 201 018 v1.5.2 (1998-11) [4]                ets 300 264 (1993): 'integrated services digital network (isdn).  videotelephony teleservice.  service description'. [5]                en 300 403-1: 'integrated services digital network (isdn).  digital subscriber signalling system no. one (dss1) protocol.  signalling network layer for circuit-mode basic call control.  part 1: protocol specification [itu-t recommendation q.931 (1993), modified]'. [6]                itu-t recommendation f.184: 'operational provisions for the international public facsimile service between subscriber stations with group 4 facsimile machines (telefax 4)'. [7]                ccitt recommendation f.200: 'teletex service'. [8]                ccitt recommendation f.220: 'service requirements unique to the processable mode number one (pm1) used within the teletex service'. [9]                ccitt recommendation f.230: 'service requirements unique to the mixed mode (mm) used within the teletex service'. [10]               ccitt recommendation t.90 (1992): 'characteristics and protocols for terminals for telematic services in isdn'. [11]               ccitt recommendation v.110 (1992): 'support of data terminal equipments with v-series type interfaces by an integrated services digital network (isdn)'. [12]               itu-t recommendation x.25: 'interface between data terminal equipment (dte) and data circuit- terminating equipment (dce) for terminals operating in the packet mode and connected to public data networks by dedicated circuit'. [13]               itu-t recommendation x.30 (1992): 'support of x.21, x.21 bis and x.20 bis based data terminal equipments (dtes) by an integrated services digital network (isdn)'. [14]               itu-t recommendation x.31 (1993): 'support of packet mode terminal equipment by an isdn'. [15]               itu-t recommendation x.75: 'packet-switched signalling system between public networks providing data transmission services'. [16]               ets 300 383: 'integrated services digital network (isdn).  file transfer over the isdn-eurofile transfer profile'. [17]               ets 300 388: 'integrated services digital network (isdn).  file transfer & access management (ftam) over isdn based on simple file transfer profile'. [18]               ets 300 267: 'integrated services digital network (isdn).  telephony 7 khz, videotelephony, audiographic conference and videoconference teleservices'. [19]               itu-t recommendation f.700 (1996): 'framework recommendations for audiovisual/multimedia services'.";"2"
3;8;"3       abbreviations ...........................................................................................................................................9";39;"3       abbreviations";FALSE;"3";FALSE;FALSE;"abbreviations";9;FALSE;"298";298;316;"3             abbreviations for the purposes of the present document, the following abbreviations apply: au                 access unit bc                 bearer capability cspdn              circuit switched public data network hdlc               high level data link control hlc                high layer compatibility isdn               integrated services digital network llc                low layer compatibility msn                multiple subscriber number nic                network independent clock nt                 network termination pspdn              packet switched public data network 10                              eg 201 018 v1.5.2 (1998-11) pstn               public switched telephone network sapi               service access point identifier sub                subaddressing ta                 terminal adapter te                 terminal equipment";"3"
3;9;"4       general principles applicable to all services..........................................................................................10";40;"4       general principles applicable to all services";FALSE;"4";FALSE;FALSE;"general principles applicable to all services";10;FALSE;"317";317;350;"4               general principles applicable to all services for all services, the following principles apply: a) the llc information element is transferred transparently through an isdn between the calling entity and the addressed entity. however, dependent on the charging principles applied, some networks may perform checks on the length of the llc information elements.  b) the hlc information element is transferred transparently through an isdn between the calling entity and the addressed entity. however, some networks may check its content, e.g., to associate a supplementary service to a teleservice.  c) where bearer services are specified, the hlc information element will normally not be present unless they are used to support high layer applications.  d) the coding examples consider the general case. in special terminal arrangements the user may need to rely on address information only. in these cases the multiple subscriber number (msn) supplementary service shall be used.  e) a terminal equipment type 2 (te2) together with a ta are assumed to provide the same functionality as a terminal equipment type 1 (te1). therefore, a ta should not generate and send a progress indicator when setting-up a connection. consequently, a ta, e.g., adapting a two-wire analogue public switched telephone network (pstn) user-network interface to the isdn user-network interface will generate the bc and, if appropriate, the hlc and llc information elements in accordance with the type of equipment it serves at the interface at the r reference point, namely: bc-/hlc-/llc-codepoints used at an interface at the coincident equipment connected to an interface                                      s&t reference point at the r reference point                          bc                      hlc                   llc analogue telephone                                  speech                  telephony facsimile group 2/3 equipment                       3,1 khz audio           facsimile group 2/3 voice band data equipment via modem                 3,1 khz audio                                  modem type for the presentation of the coding examples, the following conventions apply: -   octets 1 and 2 of the compatibility information elements, indicating the information element identifier and length respectively, are omitted from the considerations and therefore not shown in the examples.  -   a dash instead of a field value indicates: a) at the calling side: this field is not included in the information element.  b) at the called side: this field is not present.  -   field values in brackets ( ) may or may not be included at the calling side and therefore not be present at the called side. 11                               eg 201 018 v1.5.2 (1998-11)";"4"
3;10;"5       impact of interworking situations ..........................................................................................................11";41;"5       impact of interworking situations";FALSE;"5";FALSE;FALSE;"impact of interworking situations";11;FALSE;"351";351;351;"5              impact of interworking situations";"5"
3;11;"5.1        incoming calls from non-isdns ...................................................................................................................... 11";42;"5.1        incoming calls from non-isdns";FALSE;"5.1";FALSE;FALSE;"incoming calls from non-isdns";11;FALSE;"352";352;356;"5.1            incoming calls from non-isdns in the case of interworking with non-isdns, hlc and llc information elements may be absent, and this interworking is shown with the presence of the progress indicator information element. when this occurs, the terminal should accept the incoming call according to annex b of en 300 403-1 [5], i.e. it should regard the compatibility as successful if it is compatible with the included information, which as a minimum will be the bearer capability information element.";"5"
3;12;"5.2        bc and llc application guidelines................................................................................................................. 11";43;"5.2        bc and llc application guidelines";FALSE;"5.2";FALSE;FALSE;"bc and llc application guidelines";11;FALSE;"357";357;385;"5.2            bc and llc application guidelines in many cases, the same low layer information (e.g., the user rate and the rate adaption technique applied) can be coded in either the bc or the llc information element. however, the provision of information in the one or the other information element has consequences with respect to the selection or the denial of a network provided interworking function. the following guidelines exist for the application of bc and llc information elements according to annex i of en 300 403-1 [5]: type i         information used only at the destination end to allow decision regarding terminal compatibility. this information, if required, shall be coded into octets (3a and) 5 to 7 of the llc information element. type ii        information to permit the network to select the bearer service. this information shall be coded into: -   octets 3 and 4 of the bc information element for circuit-mode traffic.  -   octets 3 and 4, 6 and 7 of the bc information element for packet-mode traffic. type iii       information used by the addressed user to determine terminal compatibility and used by the network to facilitate interworking with other isdns or other dedicated networks. this information is encoded into octet 5 (including octets 5a-5d if appropriate) of the bc information element. these types of information can be used as follows: case 1         if the originating user wishes to transfer information end-to-end to ensure end user compatibility without invoking network interworking, then type i information together with type ii information shall apply. case 2         if the originating user either requires network interworking or is willing to accept network interworking, should it be necessary in order to complete the call, then type iii information together with type ii information shall apply. consequently, if interworking with a pstn, circuit switched public data network (cspdn) or the pan-european mobile cellular system is supported by the network by providing the appropriate functions (i.e. data extraction, modem pool) at the interworking unit, then those calls carrying the rate adaption information in the llc information element may not be successfully completed. these calls will be successful instead, when the rate adaption information is included in the bc information element. terminals shall have the capability to determine compatibility independent of whether the compatibility information is coded in the bc information element (as type iii information) or in the llc information element (as type i information). 12                               eg 201 018 v1.5.2 (1998-11)";"5"
